roll,pitch,yaw,ax,ay,az,wx,wy,wz,x_q,y_q,z_q,w_q,roll_xi,pitch_yi,yaw_zi,velocity_y
3.725638, -2.435543, -30.915724, 0.045410,-0.066895, 1.037598, 0.061035, 0.305176, 0.122070, 0.025662, 0.029135,-0.265663,-0.963284,-0.065025,-0.042508,0.539581, 0.000000
3.704533, -2.509962, -30.919515, 0.045410,-0.064941, 1.034180, 0.122070, 0.061035, 0.122070, 0.025310, 0.029712,-0.265676,-0.963272,-0.064656,-0.043807,0.539647, 0.000000
3.831532, -2.532170, -30.927827, 0.046387,-0.069824, 1.039551, 0.488281, 0.549316, 0.183105, 0.026324, 0.030195,-0.265705,-0.963222,-0.066873,-0.044195,0.539792, 0.000000
3.868459, -2.562150, -30.932281, 0.047852,-0.072754, 1.037109, 0.000000, 0.305176, 0.183105, 0.026563, 0.030534,-0.265723,-0.963200,-0.067517,-0.044718,0.539870, 0.000000
3.766687, -2.564355, -30.930962, 0.046875,-0.068359, 1.038086, 0.000000, 0.122070, 0.122070, 0.025703, 0.030316,-0.265738,-0.963226,-0.065741,-0.044756,0.539847, 0.000000
3.762761, -2.565189, -30.934111, 0.047363,-0.069824, 1.045410, -0.244141, 0.122070, 0.122070, 0.025667, 0.030314,-0.265765,-0.963219,-0.065673,-0.044771,0.539902, 0.000000
3.735893, -2.636631, -30.936386, 0.047852,-0.066895, 1.025879, 0.610352, 0.671387, 0.244141, 0.025274, 0.030853,-0.265768,-0.963212,-0.065204,-0.046018,0.539942, 0.000000
3.832992, -2.617976, -30.944527, 0.047363,-0.070312, 1.032227, 0.610352, 0.610352, 0.183105, 0.026132, 0.030923,-0.265817,-0.963173,-0.066898,-0.045692,0.540084, 0.000000
3.790380, -2.415700, -30.945897, 0.043457,-0.069824, 1.044922, 0.000000, 0.549316, 0.183105, 0.026245, 0.029125,-0.265906,-0.963201,-0.066155,-0.042162,0.540108, 0.000000
3.723423, -2.523424, -30.945692, 0.048340,-0.067871, 1.030273, 0.000000, 0.366211, 0.122070, 0.025431, 0.029875,-0.265887,-0.963206,-0.064986,-0.044042,0.540104, 0.000000
3.733718, -2.591876, -30.949739, 0.047363,-0.066406, 1.025391, 0.732422, 0.610352, 0.183105, 0.025357, 0.030475,-0.265896,-0.963186,-0.065166,-0.045237,0.540175, 0.000000
